top_level_category,subcategory,category_id,open_lot_count,search_url
"Coins, Currency & Precious Metals",Coins,10,1227,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=10&search=Search
"Coins, Currency & Precious Metals",Currency,11,170,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=11&search=Search
"Coins, Currency & Precious Metals",Precious Metals/Other,12,188,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=12&search=Search
Commercial & Industrial,Arcade/Entertainment,106,2,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=106&search=Search
Commercial & Industrial,Automotive/Mechanical Equipment,76,56,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=76&search=Search
Commercial & Industrial,Bulk Merchandise/Pallets,128,88,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=128&search=Search
Commercial & Industrial,Commercial Audio/Visual Equipment,94,4,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=94&search=Search
Commercial & Industrial,Commercial Materials/Supplies,127,43,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=127&search=Search
Commercial & Industrial,Commercial Salon/Spa,93,2,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=93&search=Search
Commercial & Industrial,Commercial Supplies,15,116,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=15&search=Search
Commercial & Industrial,Concrete Equipment,87,6,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=87&search=Search
Commercial & Industrial,Electrical Equipment,24,526,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=24&search=Search
Commercial & Industrial,Fire/Rescue/Safety Equipment,100,22,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=100&search=Search
Commercial & Industrial,Food Production/Processing,82,28,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=82&search=Search
Commercial & Industrial,HVAC Parts/Equipment,88,17,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=88&search=Search
Commercial & Industrial,No Lots Currently Assigned Here,108,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=108&search=Search
Commercial & Industrial,Janitorial Equipment,86,54,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=86&search=Search
Commercial & Industrial,Lab/Science Equipment,117,30,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=117&search=Search
Commercial & Industrial,No Lots Currently Assigned Here,111,,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=111&search=Search
Commercial & Industrial,Manufacturing Equipment,126,1,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=126&search=Search
Commercial & Industrial,Material Handling/Storage,14,171,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=14&search=Search
Commercial & Industrial,Medical Equipment,22,40,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=22&search=Search
Commercial & Industrial,Metal Fabrication,17,182,https://www.k-bid.com/auction/search?search=submit&search_phrase_inline=&category_ids=17&search=Search
